total cost: 344643
1 2 0
1 2 553
1 2 288
1 2 767
1 2 0
1 2 0
1 2 307
1 2 793
1 2 0
1 2 0
1 2 141
1 2 0
2 1 0
2 1 220
2 1 802
2 1 577
2 1 254
2 1 0
2 1 0
2 1 180
2 1 257
2 1 932
2 1 0
3 2 0
3 2 616
3 2 161
3 2 652
3 2 0
3 2 0
3 2 0
4 1 0
4 1 954
4 1 654
4 1 520
4 1 0
5 1 0
5 1 463
5 1 539
5 1 459
5 1 693
5 1 454
5 1 0
5 1 0
5 1 790
5 1 0
5 1 0
5 1 0
6 1 0
6 1 408
6 1 801
6 1 754
6 1 593
6 1 475
6 1 510
6 1 356
6 1 0
7 2 0
7 2 645
7 2 865
7 2 189
7 2 442
7 2 92
7 2 710
7 2 717
7 2 0
7 2 0
7 2 0
8 2 0
8 2 605
8 2 974
8 2 401
8 2 229
8 2 0
9 1 0
9 1 57
9 1 843
9 1 170
9 1 749
9 1 689
9 1 525
9 1 476
9 1 0
9 1 0
9 1 0
10 1 0
10 1 281
10 1 423
10 1 532
10 1 544
10 1 798
10 1 380
10 1 0
11 1 0
11 1 856
11 1 4
11 1 501
11 1 250
11 1 911
11 1 468
11 1 700
11 1 0
11 1 0
11 1 230
11 1 0
12 1 0
12 1 354
12 1 0
13 1 0
13 1 319
13 1 716
13 1 0
14 2 0
14 2 124
14 2 919
14 2 799
14 2 148
14 2 0
15 2 0
15 2 164
15 2 391
15 2 440
15 2 216
15 2 650
15 2 0
16 2 0
16 2 37
16 2 154
16 2 0
16 2 0
16 2 612
16 2 535
16 2 8
16 2 0
17 2 0
17 2 462
17 2 813
17 2 478
17 2 570
17 2 0
17 2 0
17 2 283
17 2 590
17 2 269
17 2 0
18 1 0
18 1 763
18 1 831
18 1 759
18 1 0
18 1 0
18 1 591
18 1 504
18 1 0
19 1 0
19 1 947
19 1 400
19 1 682
19 1 826
19 1 641
19 1 171
19 1 742
19 1 0
20 2 0
20 2 602
20 2 939
20 2 975
20 2 810
20 2 276
20 2 0
21 1 0
21 1 714
21 1 248
21 1 0
22 2 0
22 2 841
22 2 543
22 2 101
22 2 783
22 2 470
22 2 217
22 2 897
22 2 345
22 2 880
22 2 0
23 1 0
23 1 565
23 1 850
23 1 58
23 1 237
23 1 338
23 1 791
23 1 945
23 1 0
23 1 0
23 1 0
24 2 0
24 2 428
24 2 820
24 2 54
24 2 732
24 2 600
24 2 0
25 1 0
25 1 284
25 1 106
25 1 477
25 1 114
25 1 304
25 1 205
25 1 0
26 2 0
26 2 489
26 2 741
26 2 107
26 2 0
27 1 0
27 1 899
27 1 922
27 1 45
27 1 806
27 1 814
27 1 93
27 1 259
27 1 0
27 1 0
27 1 0
28 2 0
28 2 64
28 2 967
28 2 678
28 2 0
29 1 0
29 1 291
29 1 7
29 1 992
29 1 437
29 1 508
29 1 815
29 1 360
29 1 0
30 1 0
30 1 846
30 1 473
30 1 293
30 1 0
31 2 0
31 2 866
31 2 9
31 2 721
31 2 923
31 2 436
31 2 970
31 2 0
31 2 0
31 2 0
32 1 0
32 1 128
32 1 925
32 1 715
32 1 418
32 1 292
32 1 208
32 1 38
32 1 0
33 1 0
33 1 264
33 1 910
33 1 524
33 1 63
33 1 807
33 1 0
34 2 0
34 2 816
34 2 863
34 2 868
34 2 609
34 2 349
34 2 0
34 2 0
34 2 561
34 2 0
35 2 0
35 2 158
35 2 871
35 2 36
35 2 204
35 2 563
35 2 964
35 2 940
35 2 314
35 2 0
35 2 0
35 2 0
36 1 0
36 1 14
36 1 580
36 1 232
36 1 538
36 1 495
36 1 397
36 1 212
36 1 512
36 1 0
37 2 0
37 2 389
37 2 666
37 2 446
37 2 949
37 2 692
37 2 852
37 2 0
38 1 0
38 1 113
38 1 529
38 1 738
38 1 907
38 1 0
39 1 0
39 1 855
39 1 808
39 1 676
39 1 969
39 1 803
39 1 66
39 1 0
39 1 0
39 1 0
40 2 0
40 2 279
40 2 99
40 2 785
40 2 472
40 2 513
40 2 0
40 2 0
40 2 0
41 1 0
41 1 17
41 1 178
41 1 323
41 1 885
41 1 0
42 2 0
42 2 541
42 2 255
42 2 647
42 2 611
42 2 980
42 2 74
42 2 0
42 2 0
42 2 0
43 2 0
43 2 441
43 2 207
43 2 168
43 2 516
43 2 44
43 2 0
44 2 0
44 2 606
44 2 955
44 2 542
44 2 707
44 2 246
44 2 40
44 2 2
44 2 990
44 2 223
44 2 0
45 2 0
45 2 335
45 2 608
45 2 906
45 2 47
45 2 679
45 2 0
45 2 0
45 2 0
46 2 0
46 2 153
46 2 394
46 2 453
46 2 88
46 2 78
46 2 71
46 2 0
46 2 0
46 2 0
47 1 0
47 1 531
47 1 677
47 1 41
47 1 136
47 1 200
47 1 0
48 2 0
48 2 603
48 2 796
48 2 644
48 2 447
48 2 929
48 2 705
48 2 545
48 2 0
48 2 0
48 2 0
49 1 0
49 1 133
49 1 399
49 1 680
49 1 873
49 1 844
49 1 438
49 1 0
49 1 0
49 1 0
50 2 0
50 2 550
50 2 784
50 2 125
50 2 191
50 2 0
51 1 0
51 1 837
51 1 909
51 1 0
52 2 0
52 2 352
52 2 0
53 1 0
53 1 163
53 1 0
54 1 0
54 1 456
54 1 996
54 1 273
54 1 429
54 1 735
54 1 628
54 1 937
54 1 289
54 1 0
54 1 0
54 1 0
54 1 0
55 1 0
55 1 921
55 1 351
55 1 0
55 1 0
55 1 130
55 1 576
55 1 0
56 1 0
56 1 336
56 1 369
56 1 854
56 1 0
56 1 0
56 1 435
56 1 835
56 1 0
57 2 0
57 2 817
57 2 157
57 2 199
57 2 324
57 2 648
57 2 290
57 2 0
57 2 0
57 2 0
58 2 0
58 2 518
58 2 497
58 2 404
58 2 642
58 2 0
58 2 0
58 2 95
58 2 398
58 2 0
59 2 0
59 2 266
59 2 562
59 2 664
59 2 410
59 2 151
59 2 752
59 2 0
60 2 0
60 2 455
60 2 724
60 2 0
61 2 0
61 2 809
61 2 930
61 2 771
61 2 492
61 2 413
61 2 0
61 2 0
61 2 94
61 2 0
62 1 0
62 1 699
62 1 646
62 1 392
62 1 30
62 1 484
62 1 172
62 1 0
62 1 0
62 1 86
62 1 135
62 1 0
63 1 0
63 1 102
63 1 610
63 1 574
63 1 419
63 1 976
63 1 669
63 1 0
63 1 0
63 1 0
64 2 0
64 2 989
64 2 751
64 2 673
64 2 485
64 2 226
64 2 0
64 2 0
64 2 876
64 2 753
64 2 0
65 1 0
65 1 340
65 1 781
65 1 188
65 1 425
65 1 776
65 1 668
65 1 0
65 1 0
65 1 0
66 2 0
66 2 902
66 2 84
66 2 709
66 2 757
66 2 0
67 2 0
67 2 160
67 2 233
67 2 686
67 2 183
67 2 490
67 2 471
67 2 0
68 2 0
68 2 275
68 2 310
68 2 748
68 2 581
68 2 434
68 2 27
68 2 0
68 2 0
68 2 0
69 2 0
69 2 181
69 2 417
69 2 918
69 2 309
69 2 0
69 2 0
69 2 0
70 1 0
70 1 568
70 1 675
70 1 0
71 1 0
71 1 511
71 1 777
71 1 79
71 1 663
71 1 0
71 1 0
71 1 166
71 1 11
71 1 0
72 2 0
72 2 943
72 2 941
72 2 685
72 2 936
72 2 656
72 2 630
72 2 0
72 2 0
72 2 0
73 1 0
73 1 321
73 1 134
73 1 177
73 1 701
73 1 80
73 1 494
73 1 0
73 1 0
74 2 0
74 2 186
74 2 81
74 2 0
75 1 0
75 1 756
75 1 794
75 1 175
75 1 376
75 1 601
75 1 140
75 1 515
75 1 0
75 1 0
75 1 0
75 1 0
76 2 0
76 2 971
76 2 965
76 2 734
76 2 480
76 2 28
76 2 0
77 1 0
77 1 150
77 1 944
77 1 0
78 1 0
78 1 193
78 1 426
78 1 0
78 1 0
78 1 694
78 1 0
79 1 0
79 1 430
79 1 334
79 1 938
79 1 755
79 1 997
79 1 493
79 1 778
79 1 0
79 1 0
79 1 0
79 1 0
80 2 0
80 2 328
80 2 282
80 2 509
80 2 481
80 2 0
81 1 0
81 1 411
81 1 59
81 1 0
82 1 0
82 1 960
82 1 24
82 1 0
83 1 0
83 1 934
83 1 991
