total cost: 337019
1 2 0
1 2 553
1 2 288
1 2 767
1 2 0
1 2 0
1 2 307
1 2 793
1 2 0
1 2 0
1 2 141
1 2 0
2 1 0
2 1 220
2 1 802
2 1 577
2 1 254
2 1 0
2 1 0
2 1 180
2 1 257
2 1 932
2 1 0
3 2 0
3 2 616
3 2 161
3 2 652
3 2 0
3 2 0
3 2 0
4 1 0
4 1 954
4 1 654
4 1 520
4 1 0
5 1 0
5 1 463
5 1 539
5 1 459
5 1 693
5 1 454
5 1 0
5 1 0
5 1 790
5 1 0
5 1 0
5 1 0
6 2 0
6 2 408
6 2 801
6 2 754
6 2 593
6 2 475
6 2 510
6 2 356
6 2 0
7 2 0
7 2 645
7 2 865
7 2 189
7 2 442
7 2 92
7 2 710
7 2 717
7 2 0
7 2 0
7 2 0
8 1 0
8 1 605
8 1 974
8 1 401
8 1 229
8 1 0
9 2 0
9 2 57
9 2 843
9 2 170
9 2 749
9 2 689
9 2 525
9 2 476
9 2 0
10 1 0
10 1 281
10 1 423
10 1 532
10 1 544
10 1 798
10 1 380
10 1 0
11 2 0
11 2 856
11 2 4
11 2 501
11 2 250
11 2 911
11 2 468
11 2 700
11 2 783
11 2 477
11 2 0
12 2 0
12 2 354
12 2 37
12 2 154
12 2 0
12 2 0
12 2 230
12 2 535
12 2 0
13 2 0
13 2 319
13 2 716
13 2 0
14 2 0
14 2 164
14 2 391
14 2 440
14 2 216
14 2 650
14 2 0
15 1 0
15 1 124
15 1 919
15 1 799
15 1 148
15 1 0
16 1 0
16 1 462
16 1 813
16 1 478
16 1 0
16 1 0
16 1 612
16 1 8
16 1 0
17 1 0
17 1 947
17 1 602
17 1 284
17 1 171
17 1 742
17 1 0
18 2 0
18 2 763
18 2 899
18 2 826
18 2 922
18 2 531
18 2 217
18 2 470
18 2 897
18 2 0
18 2 0
18 2 504
18 2 0
19 1 0
19 1 283
19 1 590
19 1 269
19 1 0
20 2 0
20 2 714
20 2 248
20 2 0
21 1 0
21 1 841
21 1 64
21 1 304
21 1 205
21 1 114
21 1 0
22 2 0
22 2 570
22 2 975
22 2 759
22 2 0
23 2 0
23 2 400
23 2 101
23 2 7
23 2 543
23 2 437
23 2 992
23 2 923
23 2 436
23 2 0
23 2 0
23 2 0
24 2 0
24 2 831
24 2 237
24 2 58
24 2 850
24 2 0
24 2 0
24 2 591
24 2 0
25 1 0
25 1 565
25 1 871
25 1 541
25 1 158
25 1 338
25 1 791
25 1 945
25 1 191
25 1 0
25 1 0
25 1 0
26 2 0
26 2 428
26 2 820
26 2 54
26 2 732
26 2 600
26 2 0
27 2 0
27 2 489
27 2 741
27 2 107
27 2 0
28 1 0
28 1 682
28 1 939
28 1 36
28 1 264
28 1 99
28 1 807
28 1 0
29 1 0
29 1 291
29 1 866
29 1 128
29 1 9
29 1 721
29 1 967
29 1 678
29 1 508
29 1 0
30 2 0
30 2 846
30 2 473
30 2 293
30 2 0
31 2 0
31 2 641
31 2 677
31 2 964
31 2 314
31 2 0
32 2 0
32 2 63
32 2 910
32 2 524
32 2 279
32 2 785
32 2 472
32 2 679
32 2 0
32 2 0
32 2 0
33 1 0
33 1 816
33 1 863
33 1 868
33 1 609
33 1 0
33 1 0
33 1 561
33 1 810
33 1 784
33 1 0
34 1 0
34 1 389
34 1 580
34 1 441
34 1 855
34 1 232
34 1 808
34 1 512
34 1 397
34 1 0
34 1 0
34 1 0
35 2 0
35 2 113
35 2 529
35 2 738
35 2 907
35 2 349
35 2 0
35 2 0
35 2 352
35 2 0
36 2 0
36 2 17
36 2 925
36 2 418
36 2 902
36 2 84
36 2 885
36 2 323
36 2 178
36 2 0
37 2 0
37 2 14
37 2 538
37 2 446
37 2 495
37 2 949
37 2 692
37 2 852
37 2 0
38 2 0
38 2 606
38 2 955
38 2 542
38 2 707
38 2 246
38 2 40
38 2 360
38 2 990
38 2 223
38 2 844
38 2 0
39 1 0
39 1 106
39 1 815
39 1 200
39 1 345
39 1 880
39 1 0
40 2 0
40 2 335
40 2 608
40 2 513
40 2 906
40 2 47
40 2 0
41 1 0
41 1 153
41 1 394
41 1 666
41 1 207
41 1 676
41 1 168
41 1 0
41 1 0
41 1 276
41 1 86
41 1 0
42 1 0
42 1 603
42 1 796
42 1 644
42 1 447
42 1 929
42 1 0
42 1 0
42 1 0
43 2 0
43 2 715
43 2 511
43 2 425
43 2 776
43 2 668
43 2 0
44 2 0
44 2 133
44 2 664
44 2 752
44 2 0
44 2 0
44 2 837
44 2 0
45 2 0
45 2 550
45 2 0
46 1 0
46 1 212
46 1 516
46 1 0
47 2 0
47 2 204
47 2 563
47 2 940
47 2 181
47 2 259
47 2 125
47 2 0
48 1 0
48 1 163
48 1 0
49 1 0
49 1 456
49 1 102
49 1 351
49 1 0
49 1 0
49 1 255
49 1 980
49 1 74
49 1 724
49 1 0
50 2 0
50 2 921
50 2 876
50 2 753
50 2 0
51 2 0
51 2 45
51 2 809
51 2 814
51 2 430
51 2 977
51 2 396
51 2 438
51 2 481
51 2 0
51 2 0
51 2 0
52 1 0
52 1 336
52 1 369
52 1 854
52 1 0
52 1 0
52 1 909
52 1 0
53 1 0
53 1 817
53 1 157
53 1 199
53 1 324
53 1 0
53 1 0
53 1 130
53 1 0
54 1 0
54 1 806
54 1 873
54 1 694
54 1 136
54 1 918
54 1 0
55 2 0
55 2 435
55 2 686
55 2 160
55 2 183
55 2 835
55 2 490
55 2 471
55 2 0
56 2 0
56 2 518
56 2 497
56 2 404
56 2 642
56 2 0
56 2 0
56 2 95
56 2 398
56 2 208
56 2 0
57 1 0
57 1 266
57 1 562
57 1 275
57 1 310
57 1 748
57 1 166
57 1 27
57 1 0
57 1 0
57 1 0
58 1 0
58 1 611
58 1 647
58 1 455
58 1 0
59 1 0
59 1 93
59 1 417
59 1 675
59 1 135
59 1 289
59 1 0
60 2 0
60 2 576
60 2 0
60 2 0
60 2 0
61 1 0
61 1 41
61 1 568
61 1 0
62 2 0
62 2 399
62 2 680
62 2 29
62 2 11
62 2 970
62 2 0
63 2 0
63 2 648
63 2 290
63 2 485
63 2 965
63 2 971
63 2 24
63 2 0
64 2 0
64 2 292
64 2 38
64 2 757
64 2 0
65 1 0
65 1 699
65 1 996
65 1 697
65 1 81
65 1 628
65 1 937
65 1 211
65 1 0
65 1 0
66 2 0
66 2 340
66 2 781
66 2 188
66 2 709
66 2 557
66 2 0
66 2 0
66 2 0
67 2 0
67 2 646
67 2 334
67 2 938
67 2 755
67 2 997
67 2 493
67 2 778
67 2 0
67 2 0
67 2 0
68 2 0
68 2 392
68 2 366
68 2 272
68 2 85
68 2 0
68 2 0
68 2 94
68 2 0
69 1 0
69 1 989
69 1 751
69 1 673
69 1 0
69 1 0
69 1 151
69 1 734
69 1 480
69 1 28
69 1 0
70 2 0
70 2 410
70 2 943
70 2 941
70 2 685
70 2 936
70 2 581
70 2 509
70 2 630
70 2 0
70 2 0
70 2 0
71 1 0
71 1 233
71 1 134
71 1 175
71 1 420
71 1 376
71 1 601
71 1 140
71 1 515
71 1 0
71 1 0
71 1 0
71 1 0
72 1 0
72 1 321
72 1 861
72 1 393
72 1 457
72 1 119
72 1 0
72 1 0
72 1 0
73 2 0
73 2 186
73 2 948
73 2 0
74 2 0
74 2 756
74 2 663
74 2 79
74 2 586
74 2 904
74 2 494
74 2 311
74 2 0
74 2 0
74 2 0
75 2 0
75 2 150
75 2 944
75 2 669
75 2 857
75 2 0
76 1 0
76 1 794
76 1 874
76 1 828
76 1 0
76 1 0
76 1 969
76 1 803
76 1 66
76 1 0
77 1 0
77 1 328
77 1 771
77 1 492
77 1 413
77 1 0
77 1 0
77 1 0
78 2 0
78 2 193
78 2 426
78 2 0
78 2 0
78 2 718
78 2 0
78 2 0
78 2 0
79 1 0
79 1 411
79 1 574
79 1 419
79 1 976
79 1 0
79 1 0
79 1 960
79 1 0
80 1 0
80 1 610
80 1 894
80 1 660
80 1 25
80 1 726
80 1 706
80 1 983
80 1 0
80 1 0
81 2 0
81 2 930
81 2 764
81 2 126
81 2 214
81 2 0
81 2 0
