total cost: 347151
1 2 0
1 2 553
1 2 288
1 2 767
1 2 0
1 2 0
1 2 616
1 2 180
1 2 257
1 2 932
1 2 0
2 2 0
2 2 220
2 2 802
2 2 577
2 2 408
2 2 801
2 2 0
2 2 0
2 2 307
2 2 790
2 2 0
2 2 0
2 2 141
2 2 0
3 2 0
3 2 539
3 2 462
3 2 813
3 2 693
3 2 754
3 2 974
3 2 716
3 2 525
3 2 0
3 2 0
3 2 0
4 2 0
4 2 645
4 2 865
4 2 189
4 2 428
4 2 0
4 2 0
4 2 793
4 2 654
4 2 652
4 2 504
4 2 0
5 1 0
5 1 605
5 1 856
5 1 593
5 1 602
5 1 284
5 1 759
5 1 0
5 1 0
5 1 612
5 1 0
6 2 0
6 2 463
6 2 354
6 2 442
6 2 710
6 2 717
6 2 94
6 2 732
6 2 600
6 2 0
6 2 0
6 2 0
7 2 0
7 2 254
7 2 57
7 2 843
7 2 423
7 2 798
7 2 468
7 2 380
7 2 205
7 2 114
7 2 0
8 2 0
8 2 281
8 2 532
8 2 489
8 2 440
8 2 391
8 2 304
8 2 476
8 2 742
8 2 0
8 2 0
8 2 0
9 2 0
9 2 954
9 2 154
9 2 37
9 2 283
9 2 919
9 2 475
9 2 0
9 2 0
9 2 0
10 2 0
10 2 749
10 2 689
10 2 319
10 2 544
10 2 8
10 2 535
10 2 0
11 2 0
11 2 170
11 2 911
11 2 700
11 2 783
11 2 641
11 2 0
12 2 0
12 2 459
12 2 454
12 2 124
12 2 401
12 2 229
12 2 356
12 2 0
13 2 0
13 2 4
13 2 899
13 2 831
13 2 250
13 2 237
13 2 975
13 2 0
13 2 0
13 2 799
13 2 148
13 2 0
14 2 0
14 2 763
14 2 947
14 2 501
14 2 826
14 2 922
14 2 217
14 2 470
14 2 897
14 2 0
14 2 0
14 2 0
15 1 0
15 1 478
15 1 473
15 1 863
15 1 609
15 1 0
15 1 0
15 1 164
15 1 171
15 1 477
15 1 0
16 2 0
16 2 92
16 2 216
16 2 418
16 2 323
16 2 178
16 2 208
16 2 668
16 2 0
17 2 0
17 2 714
17 2 807
17 2 293
17 2 0
18 2 0
18 2 841
18 2 101
18 2 7
18 2 543
18 2 992
18 2 437
18 2 40
18 2 815
18 2 360
18 2 0
19 2 0
19 2 570
19 2 264
19 2 810
19 2 510
19 2 0
20 2 0
20 2 400
20 2 682
20 2 531
20 2 338
20 2 945
20 2 880
20 2 345
20 2 200
20 2 0
21 1 0
21 1 565
21 1 850
21 1 58
21 1 871
21 1 36
21 1 204
21 1 0
21 1 0
21 1 161
21 1 520
21 1 0
22 2 0
22 2 291
22 2 542
22 2 707
22 2 399
22 2 246
22 2 680
22 2 990
22 2 0
22 2 0
22 2 0
23 1 0
23 1 820
23 1 925
23 1 9
23 1 324
23 1 0
23 1 0
23 1 591
23 1 230
23 1 0
24 1 0
24 1 128
24 1 741
24 1 866
24 1 133
24 1 923
24 1 0
24 1 0
24 1 590
24 1 0
25 2 0
25 2 816
25 2 113
25 2 910
25 2 868
25 2 349
25 2 0
25 2 0
25 2 107
25 2 837
25 2 0
26 1 0
26 1 158
26 1 541
26 1 939
26 1 563
26 1 964
26 1 940
26 1 314
26 1 784
26 1 0
26 1 0
26 1 0
27 2 0
27 2 54
27 2 715
27 2 902
27 2 84
27 2 709
27 2 885
27 2 776
27 2 0
27 2 0
27 2 0
28 2 0
28 2 389
28 2 580
28 2 538
28 2 446
28 2 232
28 2 855
28 2 808
28 2 512
28 2 397
28 2 692
28 2 0
28 2 0
28 2 0
29 2 0
29 2 738
29 2 603
29 2 796
29 2 608
29 2 447
29 2 929
29 2 0
29 2 0
29 2 0
30 2 0
30 2 14
30 2 666
30 2 846
30 2 495
30 2 969
30 2 852
30 2 949
30 2 269
30 2 0
31 2 0
31 2 907
31 2 441
31 2 207
31 2 168
31 2 71
31 2 44
31 2 383
31 2 545
31 2 906
31 2 0
32 2 0
32 2 63
32 2 524
32 2 279
32 2 921
32 2 876
32 2 753
32 2 838
32 2 0
32 2 0
32 2 0
33 2 0
33 2 17
33 2 511
33 2 425
33 2 79
33 2 586
33 2 38
33 2 757
33 2 0
34 1 0
34 1 529
34 1 644
34 1 329
34 1 676
34 1 803
34 1 0
34 1 0
34 1 967
34 1 0
35 2 0
35 2 721
35 2 664
35 2 752
35 2 0
35 2 0
35 2 276
35 2 191
35 2 0
36 2 0
36 2 606
36 2 955
36 2 562
36 2 410
36 2 485
36 2 290
36 2 648
36 2 0
36 2 0
36 2 0
37 1 0
37 1 335
37 1 854
37 1 840
37 1 0
37 1 0
37 1 678
37 1 436
37 1 0
38 1 0
38 1 153
38 1 453
38 1 88
38 1 0
38 1 0
38 1 106
38 1 93
38 1 791
38 1 259
38 1 125
38 1 0
39 1 0
39 1 99
39 1 255
39 1 647
39 1 785
39 1 0
39 1 0
39 1 0
40 2 0
40 2 64
40 2 41
40 2 677
40 2 136
40 2 918
40 2 0
41 2 0
41 2 472
41 2 513
41 2 679
41 2 0
42 2 0
42 2 650
42 2 80
42 2 494
42 2 0
43 2 0
43 2 561
43 2 508
43 2 0
44 2 0
44 2 456
44 2 996
44 2 699
44 2 392
44 2 417
44 2 181
44 2 289
44 2 675
44 2 0
44 2 0
44 2 0
45 1 0
45 1 45
45 1 809
45 1 430
45 1 334
45 1 755
45 1 800
45 1 778
45 1 0
45 1 0
45 1 0
45 1 212
45 1 0
46 2 0
46 2 336
46 2 102
46 2 351
46 2 0
46 2 0
46 2 909
46 2 971
46 2 965
46 2 734
46 2 0
47 2 0
47 2 817
47 2 751
47 2 157
47 2 199
47 2 861
47 2 0
47 2 0
47 2 0
48 2 0
48 2 394
48 2 991
48 2 578
48 2 365
48 2 0
48 2 0
48 2 550
48 2 86
48 2 724
48 2 0
48 2 0
48 2 0
49 2 0
49 2 518
49 2 497
49 2 610
49 2 574
49 2 419
49 2 150
49 2 621
49 2 0
49 2 0
49 2 0
50 2 0
50 2 266
50 2 943
50 2 310
50 2 275
50 2 970
50 2 581
50 2 936
50 2 630
50 2 0
50 2 0
50 2 0
51 2 0
51 2 806
51 2 814
51 2 977
51 2 396
51 2 844
51 2 438
51 2 509
51 2 434
51 2 0
51 2 0
51 2 0
52 2 0
52 2 611
52 2 455
52 2 980
52 2 576
52 2 0
52 2 0
52 2 0
53 2 0
53 2 369
53 2 695
53 2 0
53 2 0
53 2 435
53 2 686
53 2 835
53 2 0
53 2 0
53 2 0
54 2 0
54 2 292
54 2 557
54 2 398
54 2 311
54 2 0
55 2 0
55 2 340
55 2 781
55 2 188
55 2 175
55 2 376
55 2 601
55 2 140
55 2 515
55 2 0
55 2 0
55 2 0
56 2 0
56 2 646
56 2 167
56 2 938
56 2 997
56 2 493
56 2 97
56 2 465
56 2 0
56 2 0
56 2 0
57 2 0
57 2 989
57 2 233
57 2 134
57 2 177
57 2 663
57 2 0
57 2 0
57 2 873
57 2 694
57 2 0
58 2 0
58 2 160
58 2 321
58 2 701
58 2 218
58 2 490
58 2 471
58 2 0
58 2 0
58 2 0
59 2 0
59 2 352
59 2 223
59 2 166
59 2 0
60 2 0
60 2 151
60 2 973
60 2 118
60 2 656
60 2 0
60 2 0
60 2 74
60 2 0
60 2 0
60 2 0
61 2 0
61 2 568
61 2 779
61 2 309
61 2 0
61 2 0
61 2 0
62 1 0
62 1 673
62 1 887
62 1 891
62 1 685
62 1 0
62 1 0
62 1 248
62 1 0
63 2 0
63 2 748
63 2 481
63 2 27
63 2 480
63 2 0
64 1 0
64 1 186
64 1 735
64 1 628
64 1 937
64 1 211
64 1 761
64 1 595
64 1 0
64 1 0
64 1 0
64 1 0
65 2 0
65 2 756
65 2 794
65 2 458
65 2 622
65 2 187
65 2 626
65 2 0
65 2 0
65 2 11
65 2 0
66 2 0
66 2 328
66 2 771
66 2 492
66 2 413
66 2 683
66 2 0
66 2 0
66 2 0
67 2 0
67 2 193
67 2 426
67 2 0
67 2 0
67 2 718
67 2 0
67 2 0
67 2 0
68 2 0
68 2 226
68 2 496
68 2 119
68 2 301
68 2 0
69 2 0
69 2 411
69 2 404
