total cost: 345525
1 2 0
1 2 553
1 2 288
1 2 767
1 2 0
1 2 0
1 2 307
1 2 793
1 2 0
1 2 0
1 2 141
1 2 0
2 1 0
2 1 220
2 1 802
2 1 577
2 1 254
2 1 0
2 1 0
2 1 616
2 1 180
2 1 257
2 1 932
2 1 0
2 1 0
2 1 0
3 1 0
3 1 801
3 1 754
3 1 593
3 1 475
3 1 510
3 1 356
3 1 0
4 2 0
4 2 463
4 2 539
4 2 154
4 2 693
4 2 0
4 2 0
4 2 790
4 2 612
4 2 654
4 2 0
5 2 0
5 2 645
5 2 954
5 2 161
5 2 652
5 2 0
5 2 0
5 2 0
6 2 0
6 2 605
6 2 974
6 2 716
6 2 525
6 2 476
6 2 0
7 2 0
7 2 408
7 2 947
7 2 401
7 2 229
7 2 535
7 2 919
7 2 0
8 1 0
8 1 57
8 1 865
8 1 189
8 1 442
8 1 710
8 1 717
8 1 532
8 1 0
8 1 0
8 1 0
9 1 0
9 1 281
9 1 843
9 1 170
9 1 749
9 1 423
9 1 544
9 1 304
9 1 205
9 1 114
9 1 0
9 1 0
9 1 0
10 1 0
10 1 856
10 1 763
10 1 831
10 1 602
10 1 911
10 1 468
10 1 0
10 1 0
10 1 124
10 1 799
10 1 0
11 2 0
11 2 354
11 2 37
11 2 459
11 2 454
11 2 283
11 2 590
11 2 0
12 2 0
12 2 319
12 2 689
12 2 798
12 2 380
12 2 0
13 1 0
13 1 462
13 1 813
13 1 473
13 1 609
13 1 293
13 1 0
13 1 0
13 1 520
13 1 504
13 1 0
14 2 0
14 2 4
14 2 250
14 2 899
14 2 826
14 2 922
14 2 217
14 2 470
14 2 783
14 2 477
14 2 0
15 1 0
15 1 164
15 1 391
15 1 440
15 1 216
15 1 650
15 1 600
15 1 0
15 1 0
15 1 0
16 2 0
16 2 478
16 2 975
16 2 759
16 2 0
16 2 0
16 2 8
16 2 0
17 1 0
17 1 501
17 1 400
17 1 682
17 1 284
17 1 0
17 1 0
17 1 591
17 1 0
18 1 0
18 1 92
18 1 732
18 1 0
19 2 0
19 2 714
19 2 248
19 2 0
20 2 0
20 2 841
20 2 7
20 2 101
20 2 543
20 2 437
20 2 992
20 2 923
20 2 436
20 2 0
20 2 0
20 2 0
21 2 0
21 2 570
21 2 810
21 2 276
21 2 0
21 2 0
21 2 0
22 1 0
22 1 565
22 1 850
22 1 58
22 1 237
22 1 0
22 1 0
22 1 561
22 1 230
22 1 148
22 1 0
23 1 0
23 1 428
23 1 820
23 1 128
23 1 0
23 1 0
23 1 64
23 1 967
23 1 678
23 1 508
23 1 0
24 1 0
24 1 291
24 1 542
24 1 707
24 1 246
24 1 40
24 1 0
24 1 0
24 1 0
25 2 0
25 2 846
25 2 335
25 2 807
25 2 0
26 2 0
26 2 489
26 2 741
26 2 107
26 2 0
27 1 0
27 1 866
27 1 9
27 1 721
27 1 0
28 2 0
28 2 264
28 2 910
28 2 524
28 2 63
28 2 0
29 2 0
29 2 641
29 2 171
29 2 742
29 2 0
30 1 0
30 1 816
30 1 863
30 1 868
30 1 907
30 1 0
30 1 0
30 1 99
30 1 550
30 1 784
30 1 964
30 1 125
30 1 0
31 2 0
31 2 158
31 2 871
31 2 36
31 2 939
31 2 945
31 2 791
31 2 314
31 2 0
32 2 0
32 2 389
32 2 580
32 2 441
32 2 855
32 2 232
32 2 808
32 2 512
32 2 397
32 2 212
32 2 0
33 2 0
33 2 113
33 2 529
33 2 738
33 2 349
33 2 0
33 2 0
33 2 700
33 2 815
33 2 897
33 2 345
33 2 880
33 2 0
34 2 0
34 2 338
34 2 541
34 2 204
34 2 563
34 2 940
34 2 417
34 2 918
34 2 309
34 2 0
34 2 0
34 2 0
35 2 0
35 2 54
35 2 925
35 2 418
35 2 902
35 2 84
35 2 885
35 2 323
35 2 178
35 2 0
36 1 0
36 1 14
36 1 538
36 1 446
36 1 495
36 1 949
36 1 852
36 1 692
36 1 0
37 1 0
37 1 17
37 1 715
37 1 292
37 1 208
37 1 0
37 1 0
37 1 269
37 1 0
38 2 0
38 2 606
38 2 955
38 2 562
38 2 266
38 2 399
38 2 680
38 2 990
38 2 873
38 2 360
38 2 223
38 2 0
39 2 0
39 2 153
39 2 394
39 2 934
39 2 329
39 2 207
39 2 168
39 2 71
39 2 661
39 2 0
39 2 0
39 2 0
40 1 0
40 1 666
40 1 796
40 1 0
41 1 0
41 1 531
41 1 45
41 1 806
41 1 814
41 1 93
41 1 259
41 1 0
41 1 0
41 1 0
42 2 0
42 2 279
42 2 255
42 2 647
42 2 980
42 2 74
42 2 724
42 2 0
43 2 0
43 2 603
43 2 608
43 2 447
43 2 545
43 2 0
43 2 0
43 2 472
43 2 0
44 2 0
44 2 133
44 2 752
44 2 664
44 2 0
44 2 0
44 2 785
44 2 0
45 1 0
45 1 106
45 1 677
45 1 181
45 1 191
45 1 0
46 1 0
46 1 837
46 1 909
46 1 0
47 2 0
47 2 352
47 2 200
47 2 0
48 2 0
48 2 456
48 2 996
48 2 273
48 2 429
48 2 735
48 2 628
48 2 937
48 2 289
48 2 675
48 2 135
48 2 0
48 2 0
48 2 0
49 1 0
49 1 921
49 1 351
49 1 0
49 1 0
49 1 163
49 1 513
49 1 906
49 1 0
50 1 0
50 1 336
50 1 369
50 1 854
50 1 0
50 1 0
50 1 679
50 1 576
50 1 0
51 1 0
51 1 817
51 1 157
51 1 199
51 1 324
51 1 0
51 1 0
51 1 130
51 1 0
52 1 0
52 1 518
52 1 497
52 1 574
52 1 419
52 1 976
52 1 669
52 1 0
52 1 0
52 1 86
52 1 0
53 2 0
53 2 611
53 2 455
53 2 0
53 2 0
53 2 0
54 2 0
54 2 435
54 2 686
54 2 160
54 2 0
54 2 0
54 2 0
55 1 0
55 1 95
55 1 398
55 1 776
55 1 668
55 1 0
56 1 0
56 1 41
56 1 136
56 1 694
56 1 844
56 1 0
57 2 0
57 2 809
57 2 930
57 2 771
57 2 492
57 2 413
57 2 0
57 2 0
57 2 94
57 2 0
58 2 0
58 2 102
58 2 610
58 2 894
58 2 25
58 2 582
58 2 726
58 2 758
58 2 595
58 2 0
58 2 0
58 2 0
59 2 0
59 2 648
59 2 290
59 2 485
59 2 151
59 2 970
59 2 27
59 2 434
59 2 0
60 2 0
60 2 699
60 2 646
60 2 697
60 2 0
60 2 0
60 2 969
60 2 803
60 2 516
60 2 44
60 2 0
61 2 0
61 2 340
61 2 781
61 2 188
61 2 425
61 2 0
61 2 0
61 2 876
61 2 753
61 2 0
62 2 0
62 2 989
62 2 751
62 2 673
62 2 861
62 2 393
62 2 965
62 2 971
62 2 0
62 2 0
62 2 0
63 2 0
63 2 392
63 2 366
63 2 272
63 2 0
63 2 0
63 2 166
63 2 11
63 2 0
64 1 0
64 1 644
64 1 840
64 1 0
64 1 0
64 1 568
64 1 0
65 2 0
65 2 511
65 2 777
65 2 79
65 2 663
65 2 601
65 2 0
65 2 0
65 2 0
66 2 0
66 2 410
66 2 943
66 2 310
66 2 941
66 2 685
66 2 936
66 2 656
66 2 0
66 2 0
66 2 0
67 2 0
67 2 321
67 2 233
67 2 701
67 2 177
67 2 490
67 2 835
67 2 471
67 2 0
68 2 0
68 2 275
68 2 973
68 2 118
68 2 496
68 2 0
68 2 0
68 2 0
69 2 0
69 2 748
69 2 581
69 2 509
69 2 630
69 2 0
70 2 0
70 2 186
70 2 484
70 2 172
70 2 761
70 2 211
70 2 0
71 1 0
71 1 756
71 1 134
71 1 175
71 1 376
71 1 140
71 1 218
71 1 80
71 1 494
71 1 0
71 1 0
71 1 0
71 1 0
72 2 0
72 2 150
72 2 621
72 2 944
72 2 857
72 2 0
73 2 0
73 2 676
73 2 546
73 2 383
73 2 0
74 2 0
74 2 794
74 2 420
74 2 665
74 2 554
74 2 624
74 2 515
74 2 847
74 2 812
74 2 0
74 2 0
75 2 0
75 2 193
75 2 426
75 2 0
75 2 0
75 2 47
75 2 929
75 2 0
76 2 0
76 2 430
76 2 334
76 2 938
76 2 755
76 2 997
76 2 493
76 2 778
76 2 0
76 2 0
76 2 0
77 1 0
77 1 328
