total cost: 340550
1 2 0
1 2 553
1 2 288
1 2 767
1 2 0
1 2 0
1 2 307
1 2 793
1 2 0
1 2 0
1 2 141
1 2 0
2 1 0
2 1 220
2 1 802
2 1 577
2 1 254
2 1 0
2 1 0
2 1 180
2 1 257
2 1 932
2 1 0
3 1 0
3 1 616
3 1 161
3 1 652
3 1 0
3 1 0
3 1 0
4 1 0
4 1 954
4 1 654
4 1 520
4 1 0
5 1 0
5 1 463
5 1 539
5 1 459
5 1 693
5 1 454
5 1 0
5 1 0
5 1 790
5 1 0
5 1 0
5 1 0
6 2 0
6 2 408
6 2 801
6 2 754
6 2 593
6 2 475
6 2 510
6 2 356
6 2 0
7 2 0
7 2 645
7 2 865
7 2 189
7 2 442
7 2 92
7 2 710
7 2 717
7 2 0
7 2 0
7 2 0
8 1 0
8 1 605
8 1 974
8 1 401
8 1 229
8 1 0
9 2 0
9 2 57
9 2 843
9 2 170
9 2 749
9 2 689
9 2 525
9 2 476
9 2 0
10 1 0
10 1 281
10 1 423
10 1 532
10 1 544
10 1 798
10 1 380
10 1 0
11 2 0
11 2 856
11 2 4
11 2 501
11 2 250
11 2 911
11 2 468
11 2 700
11 2 783
11 2 477
11 2 0
12 1 0
12 1 354
12 1 37
12 1 0
13 1 0
13 1 319
13 1 716
13 1 0
14 2 0
14 2 124
14 2 919
14 2 799
14 2 148
14 2 0
15 1 0
15 1 612
15 1 0
16 2 0
16 2 164
16 2 391
16 2 440
16 2 216
16 2 650
16 2 0
17 2 0
17 2 154
17 2 0
17 2 0
17 2 591
17 2 504
17 2 0
18 2 0
18 2 462
18 2 813
18 2 478
18 2 570
18 2 0
18 2 0
18 2 8
18 2 561
18 2 535
18 2 0
19 2 0
19 2 763
19 2 831
19 2 759
19 2 237
19 2 0
19 2 0
19 2 283
19 2 590
19 2 269
19 2 0
20 2 0
20 2 947
20 2 400
20 2 682
20 2 826
20 2 641
20 2 171
20 2 742
20 2 0
21 1 0
21 1 602
21 1 939
21 1 975
21 1 810
21 1 276
21 1 0
22 2 0
22 2 714
22 2 248
22 2 0
23 2 0
23 2 841
23 2 543
23 2 101
23 2 531
23 2 217
23 2 470
23 2 897
23 2 345
23 2 880
23 2 0
24 2 0
24 2 565
24 2 850
24 2 58
24 2 871
24 2 36
24 2 264
24 2 99
24 2 63
24 2 807
24 2 0
25 2 0
25 2 428
25 2 820
25 2 54
25 2 732
25 2 600
25 2 0
26 2 0
26 2 284
26 2 338
26 2 791
26 2 945
26 2 191
26 2 259
26 2 125
26 2 0
27 1 0
27 1 489
27 1 741
27 1 107
27 1 0
28 2 0
28 2 304
28 2 205
28 2 114
28 2 508
28 2 0
29 1 0
29 1 899
29 1 922
29 1 45
29 1 806
29 1 814
29 1 93
29 1 136
29 1 41
29 1 0
30 2 0
30 2 64
30 2 967
30 2 678
30 2 0
31 2 0
31 2 291
31 2 7
31 2 992
31 2 437
31 2 923
31 2 436
31 2 0
31 2 0
31 2 0
32 1 0
32 1 846
32 1 473
32 1 293
32 1 0
33 2 0
33 2 866
33 2 9
33 2 721
33 2 0
34 2 0
34 2 128
34 2 925
34 2 715
34 2 418
34 2 292
34 2 208
34 2 38
34 2 0
35 2 0
35 2 816
35 2 863
35 2 868
35 2 609
35 2 349
35 2 0
35 2 0
35 2 352
35 2 0
36 2 0
36 2 158
36 2 541
36 2 204
36 2 563
36 2 964
36 2 940
36 2 314
36 2 0
37 2 0
37 2 389
37 2 580
37 2 441
37 2 855
37 2 232
37 2 808
37 2 512
37 2 397
37 2 212
37 2 0
38 2 0
38 2 113
38 2 910
38 2 529
38 2 907
38 2 335
38 2 608
38 2 513
38 2 906
38 2 47
38 2 0
38 2 0
38 2 0
39 1 0
39 1 738
39 1 796
39 1 644
39 1 447
39 1 705
39 1 0
39 1 0
39 1 230
39 1 0
40 2 0
40 2 17
40 2 178
40 2 323
40 2 885
40 2 0
41 1 0
41 1 14
41 1 538
41 1 446
41 1 495
41 1 949
41 1 852
41 1 692
41 1 0
42 2 0
42 2 524
42 2 279
42 2 785
42 2 472
42 2 679
42 2 0
42 2 0
42 2 0
43 1 0
43 1 606
43 1 955
43 1 542
43 1 707
43 1 246
43 1 40
43 1 360
43 1 990
43 1 223
43 1 0
43 1 0
43 1 0
44 2 0
44 2 153
44 2 394
44 2 666
44 2 207
44 2 676
44 2 168
44 2 803
44 2 0
44 2 0
44 2 0
45 1 0
45 1 603
45 1 329
45 1 934
45 1 969
45 1 44
45 1 516
45 1 0
46 2 0
46 2 133
46 2 664
46 2 752
46 2 0
46 2 0
46 2 0
47 2 0
47 2 106
47 2 815
47 2 200
47 2 694
47 2 844
47 2 0
48 2 0
48 2 677
48 2 181
48 2 0
49 1 0
49 1 837
49 1 909
49 1 0
50 2 0
50 2 784
50 2 86
50 2 0
51 1 0
51 1 550
51 1 0
52 1 0
52 1 163
52 1 0
53 2 0
53 2 456
53 2 102
53 2 351
53 2 921
53 2 0
53 2 0
53 2 130
53 2 576
53 2 0
54 1 0
54 1 336
54 1 369
54 1 854
54 1 0
54 1 0
54 1 255
54 1 980
54 1 74
54 1 724
54 1 0
55 2 0
55 2 817
55 2 157
55 2 199
55 2 324
55 2 648
55 2 290
55 2 0
55 2 0
55 2 0
56 2 0
56 2 435
56 2 686
56 2 160
56 2 183
56 2 835
56 2 490
56 2 471
56 2 0
57 1 0
57 1 518
57 1 497
57 1 404
57 1 642
57 1 0
57 1 0
57 1 95
57 1 398
57 1 0
58 1 0
58 1 266
58 1 562
58 1 275
58 1 310
58 1 748
58 1 166
58 1 27
58 1 0
58 1 0
58 1 0
59 2 0
59 2 611
59 2 647
59 2 455
59 2 0
59 2 0
59 2 0
60 1 0
60 1 399
60 1 680
60 1 396
60 1 977
60 1 438
60 1 481
60 1 0
60 1 0
60 1 0
61 1 0
61 1 809
61 1 430
61 1 334
61 1 938
61 1 755
61 1 800
61 1 0
61 1 0
61 1 43
61 1 0
62 1 0
62 1 699
62 1 646
62 1 392
62 1 30
62 1 628
62 1 937
62 1 0
62 1 0
62 1 0
63 1 0
63 1 340
63 1 781
63 1 188
63 1 425
63 1 776
63 1 668
63 1 0
63 1 0
63 1 0
64 1 0
64 1 989
64 1 751
64 1 673
64 1 485
64 1 0
64 1 0
64 1 876
64 1 753
64 1 0
65 2 0
65 2 996
65 2 697
65 2 870
65 2 81
65 2 289
65 2 211
65 2 0
66 2 0
66 2 970
66 2 0
67 1 0
67 1 902
67 1 84
67 1 709
67 1 757
67 1 0
67 1 0
67 1 0
68 1 0
68 1 151
68 1 734
68 1 965
68 1 971
68 1 480
68 1 0
69 2 0
69 2 873
69 2 581
69 2 936
69 2 630
69 2 0
70 1 0
70 1 568
70 1 918
70 1 309
70 1 0
70 1 0
70 1 0
71 1 0
71 1 511
71 1 777
71 1 79
71 1 663
71 1 0
71 1 0
71 1 94
71 1 0
72 2 0
72 2 410
72 2 943
72 2 18
72 2 887
72 2 0
72 2 0
72 2 29
72 2 11
72 2 434
72 2 0
73 2 0
73 2 233
73 2 134
73 2 175
73 2 420
73 2 376
73 2 601
73 2 140
73 2 515
73 2 0
73 2 0
73 2 0
74 2 0
74 2 756
74 2 321
74 2 177
74 2 701
74 2 218
74 2 80
74 2 494
74 2 311
74 2 0
74 2 0
74 2 0
75 2 0
75 2 794
75 2 874
75 2 828
75 2 0
75 2 0
75 2 150
75 2 944
75 2 669
75 2 857
75 2 0
76 2 0
76 2 328
76 2 771
76 2 492
76 2 413
76 2 0
76 2 0
76 2 718
76 2 0
76 2 0
76 2 0
77 2 0
77 2 226
77 2 973
77 2 118
77 2 0
77 2 0
77 2 0
78 2 0
78 2 411
78 2 574
78 2 419
78 2 976
78 2 0
79 2 0
79 2 193
79 2 426
79 2 0
79 2 0
79 2 417
79 2 675
79 2 0
80 2 0
80 2 610
80 2 894
80 2 660
80 2 25
80 2 726
80 2 706
80 2 983
80 2 0
81 1 0
81 1 930
81 1 282
81 1 126
81 1 214
81 1 0
81 1 0
81 1 545
81 1 929
81 1 0
82 2 0
82 2 564
82 2 840
82 2 0
